Компания(последняя дата покупки дивидендов);Минимальная стоимость за месяц перед последней датой;Стоимость акции в последний день;Стоимость акции на следующий день после последней даты;Максимальная стоимость за месяц после последней даты;
Детский мир (DSKY 2017-07-13);89.40p. (+2.68%) 6 рабоч.дней_перед;91.80;90.00;92.00p. (+0.22%) 19 рабоч.дней_после
МОСТОТРЕСТ (MSTT 2017-07-14);103.30p. (+11.33%) 20 рабоч.дней_перед;115.00;105.50;120.20p. (+4.52%) 21 рабоч.дней_после
ФСК ЕЭС (FEES 2017-07-17);0.15p. (+14.76%) 20 рабоч.дней_перед;0.18;0.17;0.17p. (-1.61%) 16 рабоч.дней_после
Россети, АП (RSTIP 2017-07-17);1.99p. (+17.35%) 20 рабоч.дней_перед;2.34;1.96;1.96p. (-16.45%) 1 рабоч.дней_после
Россети (RSTI 2017-07-17);0.74p. (+14.29%) 20 рабоч.дней_перед;0.85;0.85;0.93p. (+9.85%) 21 рабоч.дней_после
Сургутнефтегаз (SNGS 2017-07-17);24.85p. (+8.05%) 20 рабоч.дней_перед;26.85;26.41;27.62p. (+2.87%) 13 рабоч.дней_после
Сургутнефтегаз, АП (SNGSP 2017-07-17);27.80p. (+4.10%) 20 рабоч.дней_перед;28.93;28.64;29.80p. (+2.97%) 17 рабоч.дней_после
Транснефть, АП (TRNFP 2017-07-18);157500.00p. (+12.06%) 11 рабоч.дней_перед;176500.00;175700.00;180500.00p. (+2.27%) 9 рабоч.дней_после
Газпром (GAZP 2017-07-18);117.33p. (+6.10%) 21 рабоч.дней_перед;124.49;120.11;120.60p. (-3.12%) 2 рабоч.дней_после
АК АЛРОСА (ALRS 2017-07-18);81.64p. (+17.59%) 19 рабоч.дней_перед;96.00;89.34;89.34p. (-6.94%) 1 рабоч.дней_после
Магнит (MGNT 2017-09-13);9271.51p. (+14.62%) 18 рабоч.дней_перед;10627.20;10363.00;10393.80p. (-2.20%) 5 рабоч.дней_после
Полюс (PLZL 2017-09-21);4300.00p. (+6.98%) 23 рабоч.дней_перед;4600.00;4450.00;4785.00p. (+4.02%) 19 рабоч.дней_после
Акрон (AKRN 2017-09-22);3496.00p. (+4.61%) 21 рабоч.дней_перед;3657.00;3450.00;3569.00p. (-2.41%) 18 рабоч.дней_после
Северсталь (CHMF 2017-09-22);859.30p. (+2.68%) 21 рабоч.дней_перед;882.30;875.90;914.90p. (+3.69%) 13 рабоч.дней_после
Московская Биржа (MOEX 2017-09-27);104.84p. (+11.69%) 21 рабоч.дней_перед;117.10;114.94;121.71p. (+3.94%) 13 рабоч.дней_после
НОВАТЭК (NVTK 2017-10-06);599.80p. (+12.89%) 22 рабоч.дней_перед;677.10;666.10;681.60p. (+0.66%) 3 рабоч.дней_после
ММК (MAGN 2017-10-06);40.89p. (+9.09%) 22 рабоч.дней_перед;44.60;44.17;46.47p. (+4.19%) 6 рабоч.дней_после
НК Роснефть (ROSN 2017-10-06);303.00p. (+5.81%) 22 рабоч.дней_перед;320.60;319.10;328.00p. (+2.31%) 7 рабоч.дней_после
НЛМК (NLMK 2017-10-10);127.50p. (+7.76%) 13 рабоч.дней_перед;137.40;135.89;137.15p. (-0.18%) 10 рабоч.дней_после
ФосАгро (PHOR 2017-10-11);2270.00p. (+4.76%) 22 рабоч.дней_перед;2378.00;2356.00;2454.00p. (+3.20%) 18 рабоч.дней_после
МТС (MTSS 2017-10-11);277.55p. (+5.19%) 12 рабоч.дней_перед;291.95;282.50;292.95p. (+0.34%) 21 рабоч.дней_после
Корпорация ВСМПО-АВИСМА (VSMO 2017-10-17);16130.00p. (+11.41%) 14 рабоч.дней_перед;17970.00;17250.00;17400.00p. (-3.17%) 19 рабоч.дней_после
ГМК Норильский никель (GMKN 2017-10-17);9547.00p. (+12.39%) 21 рабоч.дней_перед;10730.00;10756.00;11610.00p. (+8.20%) 14 рабоч.дней_после
Северсталь (CHMF 2017-12-01);884.40p. (+3.18%) 15 рабоч.дней_перед;912.50;875.50;901.40p. (-1.22%) 10 рабоч.дней_после
АФК Система (AFKS 2017-12-06);10.66p. (+12.42%) 4 рабоч.дней_перед;11.99;10.20;13.75p. (+14.68%) 13 рабоч.дней_после
Детский мир (DSKY 2017-12-13);92.55p. (+2.32%) 1 рабоч.дней_перед;94.70;92.00;99.85p. (+5.44%) 19 рабоч.дней_после
Юнипро (UPRO 2017-12-14);2.57p. (+3.11%) 4 рабоч.дней_перед;2.65;2.59;2.61p. (-1.51%) 2 рабоч.дней_после
ММК (MAGN 2017-12-15);43.93p. (+0.39%) 11 рабоч.дней_перед;44.10;42.57;45.74p. (+3.72%) 18 рабоч.дней_после
МОСТОТРЕСТ (MSTT 2017-12-15);154.60p. (+5.95%) 7 рабоч.дней_перед;163.80;157.00;157.00p. (-4.15%) 1 рабоч.дней_после
ЛУКОЙЛ (LKOH 2017-12-20);3281.00p. (+2.80%) 22 рабоч.дней_перед;3373.00;3332.50;3908.00p. (+15.86%) 14 рабоч.дней_после
Татнефть им. В.Д. Шашина (TATN 2017-12-21);456.70p. (+3.34%) 15 рабоч.дней_перед;471.95;481.60;560.00p. (+18.66%) 17 рабоч.дней_после
Татнефть им. В.Д. Шашина, АП (TATNP 2017-12-21);341.80p. (+7.64%) 16 рабоч.дней_перед;367.90;368.00;417.50p. (+13.48%) 17 рабоч.дней_после
САФМАР Финансовые инвестиции (SFIN 2017-12-22);619.50p. (+23.97%) 16 рабоч.дней_перед;768.00;785.00;789.00p. (+2.73%) 7 рабоч.дней_после
НЛМК (NLMK 2018-01-04);133.96p. (+14.21%) 20 рабоч.дней_перед;153.00;146.46;157.14p. (+2.71%) 11 рабоч.дней_после
Акрон (AKRN 2018-01-19);3811.00p. (+9.68%) 14 рабоч.дней_перед;4180.00;4070.00;4303.00p. (+2.94%) 15 рабоч.дней_после
ФосАгро (PHOR 2018-03-07);2355.00p. (+5.77%) 18 рабоч.дней_перед;2491.00;2447.00;2447.00p. (-1.77%) 1 рабоч.дней_после
ЦМТ, АП (WTCMP 2018-04-30);6.00p. (+17.17%) 17 рабоч.дней_перед;7.03;6.67;7.00p. (-0.43%) 16 рабоч.дней_после
ЦМТ (WTCM 2018-04-30);7.80p. (+7.05%) 10 рабоч.дней_перед;8.35;8.05;8.05p. (-3.59%) 1 рабоч.дней_после
НОВАТЭК (NVTK 2018-04-30);709.60p. (+8.51%) 15 рабоч.дней_перед;770.00;758.20;828.00p. (+7.53%) 19 рабоч.дней_после
Московская Биржа (MOEX 2018-05-11);111.94p. (+9.15%) 20 рабоч.дней_перед;122.18;119.15;119.15p. (-2.48%) 1 рабоч.дней_после
Детский мир (DSKY 2018-05-25);90.25p. (+6.93%) 20 рабоч.дней_перед;96.50;93.10;95.00p. (-1.55%) 4 рабоч.дней_после
Интер РАО (IRAO 2018-05-30);3.83p. (+5.62%) 17 рабоч.дней_перед;4.05;4.08;4.21p. (+3.93%) 4 рабоч.дней_после
Банк ВТБ (VTBR 2018-05-31);0.05p. (-2.39%) 4 рабоч.дней_перед;0.05;0.05;0.05p. (-3.77%) 20 рабоч.дней_после
Банк Санкт-Петербург (BSPB 2018-05-31);50.70p. (-0.20%) 20 рабоч.дней_перед;50.60;50.70;51.25p. (+1.28%) 2 рабоч.дней_после
Корпорация ВСМПО-АВИСМА (VSMO 2018-06-04);17100.00p. (+3.16%) 17 рабоч.дней_перед;17640.00;17060.00;17060.00p. (-3.29%) 1 рабоч.дней_после
САФМАР Финансовые инвестиции (SFIN 2018-06-06);685.00p. (+2.48%) 21 рабоч.дней_перед;702.00;679.00;755.00p. (+7.55%) 6 рабоч.дней_после
Полюс (PLZL 2018-06-08);3700.00p. (+3.03%) 16 рабоч.дней_перед;3812.00;3830.00;4206.00p. (+10.34%) 14 рабоч.дней_после
МРСК Центра и Приволжья (MRKP 2018-06-09);0.34p. (-9.22%) 9 рабоч.дней_перед;0.31;0.31;0.31p. (-1.13%) 1 рабоч.дней_после
ФосАгро (PHOR 2018-06-09);2300.00p. (+0.65%) 1 рабоч.дней_перед;2315.00;2322.00;2361.00p. (+1.99%) 19 рабоч.дней_после
ММК (MAGN 2018-06-09);44.10p. (+10.20%) 18 рабоч.дней_перед;48.60;48.23;48.24p. (-0.75%) 3 рабоч.дней_после
МРСК Волги (MRKV 2018-06-09);0.12p. (-1.49%) 11 рабоч.дней_перед;0.12;0.12;0.12p. (-0.33%) 1 рабоч.дней_после
МРСК Центра (MRKC 2018-06-09);0.34p. (+0.73%) 8 рабоч.дней_перед;0.34;0.35;0.35p. (+1.74%) 1 рабоч.дней_после
ОАО МРСК Урала (MRKU 2018-06-09);0.21p. (-3.09%) 9 рабоч.дней_перед;0.20;0.20;0.20p. (-0.25%) 1 рабоч.дней_после
Акрон (AKRN 2018-06-11);4275.00p. (+3.46%) 11 рабоч.дней_перед;4423.00;4265.00;4383.00p. (-0.90%) 18 рабоч.дней_после
Мосэнерго (MSNG 2018-06-14);2.45p. (+4.38%) 3 рабоч.дней_перед;2.56;2.42;2.42p. (-5.27%) 1 рабоч.дней_после
МОЭСК (MSRS 2018-06-14);0.71p. (+1.97%) 9 рабоч.дней_перед;0.72;0.70;0.70p. (-3.32%) 1 рабоч.дней_после
МРСК Сибири (MRKS 2018-06-15);0.10p. (+3.35%) 20 рабоч.дней_перед;0.11;0.10;0.11p. (+0.93%) 14 рабоч.дней_после
Северсталь (CHMF 2018-06-15);978.30p. (+6.25%) 16 рабоч.дней_перед;1039.40;964.60;967.90p. (-6.88%) 16 рабоч.дней_после
НЛМК (NLMK 2018-06-18);159.50p. (+4.89%) 17 рабоч.дней_перед;167.30;153.68;161.10p. (-3.71%) 22 рабоч.дней_после
Энел Россия (ENRU 2018-06-20);1.42p. (+2.46%) 13 рабоч.дней_перед;1.46;1.29;1.31p. (-10.24%) 2 рабоч.дней_после
ТГК-1 (TGKA 2018-06-21);0.01p. (+0.63%) 2 рабоч.дней_перед;0.01;0.01;0.01p. (-2.59%) 17 рабоч.дней_после
Сбербанк, АП (SBERP 2018-06-22);183.50p. (+3.95%) 3 рабоч.дней_перед;190.75;179.90;195.01p. (+2.23%) 12 рабоч.дней_после
Сбербанк (SBER 2018-06-22);206.00p. (+4.12%) 3 рабоч.дней_перед;214.48;202.51;230.75p. (+7.59%) 11 рабоч.дней_после
