Компания(последняя дата покупки дивидендов);Рабочих дней от минимальной стоимости до конечной даты;От минимальной стоимости до стоимости в последней дате;Стоимость акции в последний день для получения дивидендов;Стоимость акции на следующий день после последнего дня покупки для получения дивидендов;От стоимости с последней даты до максимальной стоимости после;Рабочих дней от конечной даты до максимальной стоимости;
РусГидро (HYDR 2018-07-05);11;+2.70%;0.68;0.68;+0.88%;5
Ростелеком, АП (RTKMP 2018-07-05);9;-1.11%;62.53;62.00;+1.92%;2
Ростелеком (RTKM 2018-07-05);20;+6.10%;72.50;72.20;+0.61%;2
Россети, АП (RSTIP 2018-07-05);20;+1.56%;1.37;1.36;+2.05%;19
Россети (RSTI 2018-07-05);8;+0.58%;0.79;0.78;+0.75%;3
МТС (MTSS 2018-07-05);7;+9.92%;288.00;276.95;-3.42%;2
Транснефть, АП (TRNFP 2018-07-06);6;+2.18%;168850.00;172350.00;+2.16%;3
Группа ЛСР (LSRG 2018-07-06);10;+2.29%;850.00;784.50;-7.71%;1
ОГК-2 (OGKB 2018-07-06);10;+2.52%;0.40;0.40;+0.45%;2
Селигдар, АП (SELGP 2018-07-06);17;+15.81%;17.95;16.90;-4.74%;3
ЛУКОЙЛ (LKOH 2018-07-09);15;+10.10%;4454.00;4358.50;+3.23%;23
АК АЛРОСА (ALRS 2018-07-12);19;+12.51%;100.25;101.20;+0.95%;1
ОР (OBUV 2018-07-12);9;+2.92%;98.60;97.25;+2.69%;17
ГМК Норильский никель (GMKN 2018-07-13);19;+2.78%;11358.00;10693.00;-3.11%;21
Мечел, АП (MTLRP 2018-07-16);19;+6.30%;135.75;119.10;-12.27%;1
КАМАЗ (KMAZ 2018-07-16);19;+20.32%;61.00;61.85;+11.97%;14
ФСК ЕЭС (FEES 2018-07-16);19;+3.66%;0.19;0.17;-7.23%;1
АФК Система (AFKS 2018-07-17);14;+5.36%;9.04;8.89;+2.71%;9
Газпром (GAZP 2018-07-17);18;+8.12%;145.31;138.29;-0.08%;17
Сургутнефтегаз, АП (SNGSP 2018-07-17);16;+7.57%;33.40;32.90;+10.78%;20
Сургутнефтегаз (SNGS 2018-07-17);9;+1.82%;28.59;28.52;+2.13%;13
ФосАгро (PHOR 2018-07-19);16;+2.69%;2325.00;2300.00;0.00%;21
Группа Компаний ПИК (PIKK 2018-08-31);21;+7.28%;364.00;343.70;-3.76%;9
Северсталь (CHMF 2018-09-21);23;+6.25%;1115.00;1072.00;-0.53%;9
ГМК Норильский никель (GMKN 2018-09-27);23;+6.85%;11830.00;11388.00;-3.38%;14
НК Роснефть (ROSN 2018-10-05);22;+15.77%;503.00;479.45;-4.68%;1
ММК (MAGN 2018-10-05);22;+7.36%;51.80;50.73;-2.07%;1
МТС (MTSS 2018-10-05);18;+8.95%;275.10;269.90;-0.98%;7
НОВАТЭК (NVTK 2018-10-08);15;+9.86%;1180.00;1145.00;-0.85%;2
ФосАгро (PHOR 2018-10-10);8;-0.95%;2493.00;2443.00;+1.56%;19
Корпорация ВСМПО-АВИСМА (VSMO 2018-10-10);19;+3.48%;16660.00;16000.00;-3.96%;1
Татнефть им. В.Д. Шашина (TATN 2018-10-10);14;+5.20%;823.80;778.30;-0.56%;20
Татнефть им. В.Д. Шашина, АП (TATNP 2018-10-10);20;+10.14%;578.00;560.20;-2.25%;2
НЛМК (NLMK 2018-10-10);21;+4.12%;176.34;167.10;-2.86%;5
АК АЛРОСА (ALRS 2018-10-11);4;-2.13%;101.00;97.00;+2.96%;20
Полюс (PLZL 2018-10-16);14;+6.62%;4316.00;4350.00;+1.95%;20
Акрон (AKRN 2018-10-26);1;-0.75%;4502.00;4497.00;+4.18%;19
Северсталь (CHMF 2018-11-30);3;+1.65%;1002.70;978.00;-2.46%;1
ММК (MAGN 2018-12-14);17;+4.03%;46.72;44.56;-2.41%;16
Юнипро (UPRO 2018-12-14);1;+0.41%;2.71;2.56;-2.55%;16
Магнит (MGNT 2018-12-19);21;+6.38%;3675.00;3565.00;+13.06%;17
ЛУКОЙЛ (LKOH 2018-12-19);17;+6.21%;4910.00;4808.50;+5.91%;13
Детский мир (DSKY 2018-12-24);20;+5.87%;94.88;89.60;-2.23%;17
Татнефть им. В.Д. Шашина, АП (TATNP 2019-01-04);5;+9.96%;519.00;505.90;+9.63%;18
Татнефть им. В.Д. Шашина (TATN 2019-01-04);5;+5.87%;737.70;723.20;+9.54%;19
